language,model_name,unit_of_analysis,f1_micro,precision_micro,recall_micro,f1_macro,precision_macro,recall_macro,accuracy
en,EleutherAI-gpt-neo-1.3B,raw_text,0.6930422919508867,0.7839506172839507,0.6210268948655256,0.5077788688200211,0.6524370098618443,0.4459267302665063,0.0970873786407767
en,EleutherAI-gpt-neo-1.3B,title,0.6460674157303371,0.759075907590759,0.5623471882640587,0.4434365389953768,0.5751096358941586,0.3883870455175334,0.058252427184466
en,EleutherAI-gpt-neo-1.3B,title_and_10_sentences,0.6824512534818943,0.7928802588996764,0.5990220048899756,0.4985177673864909,0.6653944142346253,0.4259427595745513,0.0776699029126213
en,EleutherAI-gpt-neo-1.3B,title_and_5_sentences,0.6685236768802227,0.7766990291262136,0.58679706601467,0.4514124666165367,0.578118667858064,0.3910917034028619,0.116504854368932
en,EleutherAI-gpt-neo-1.3B,title_and_first_paragraph,0.6869806094182825,0.792332268370607,0.6063569682151589,0.4939322168139324,0.6622912801798314,0.4253117194650069,0.1359223300970873
en,EleutherAI-gpt-neo-1.3B,title_and_first_sentence_each_paragraph,0.7087248322147651,0.7857142857142857,0.6454767726161369,0.5771069156997289,0.7010271184640933,0.5143636840354697,0.145631067961165
en,EleutherAI-gpt-neo-125M,raw_text,0.6305818673883626,0.706060606060606,0.5696821515892421,0.4389342241752997,0.5998322301893732,0.3883600606645068,0.0194174757281553
en,EleutherAI-gpt-neo-125M,title,0.5726495726495726,0.6860068259385665,0.491442542787286,0.394614390064424,0.4758092490884773,0.344609486452518,0.0679611650485436
en,EleutherAI-gpt-neo-125M,title_and_10_sentences,0.6357243319268636,0.7483443708609272,0.5525672371638142,0.482438011506916,0.7198090085503825,0.4058203500435818,0.0970873786407767
en,EleutherAI-gpt-neo-125M,title_and_5_sentences,0.6417704011065006,0.7388535031847133,0.5672371638141809,0.4510872387325165,0.5376868667047238,0.3998565773509205,0.1067961165048543
en,EleutherAI-gpt-neo-125M,title_and_first_paragraph,0.6473029045643153,0.7452229299363057,0.5721271393643031,0.5019694472271626,0.6648961998745244,0.4316785410089696,0.087378640776699
en,EleutherAI-gpt-neo-125M,title_and_first_sentence_each_paragraph,0.6492434662998624,0.7421383647798742,0.5770171149144254,0.4810981524322941,0.5944255548276762,0.4319275008157978,0.0776699029126213
en,bert-base-multilingual-cased,raw_text,0.7112299465240641,0.7846607669616519,0.6503667481662592,0.5715957847241223,0.6506391857964352,0.5206539625660923,0.116504854368932
en,bert-base-multilingual-cased,title,0.6185852981969486,0.7147435897435898,0.5452322738386308,0.427450823634297,0.5492182392726664,0.3696857964438714,0.0970873786407767
en,bert-base-multilingual-cased,title_and_10_sentences,0.6886543535620052,0.7478510028653295,0.6381418092909535,0.5349958252525695,0.6297463801814666,0.4841576930294951,0.0970873786407767
en,bert-base-multilingual-cased,title_and_5_sentences,0.6758620689655173,0.7753164556962026,0.5990220048899756,0.5184014202535083,0.6310023119815041,0.4574381636740015,0.1262135922330097
en,bert-base-multilingual-cased,title_and_first_paragraph,0.6900269541778975,0.7687687687687688,0.6259168704156479,0.5040800672024764,0.5973489154180244,0.4521685861538865,0.1359223300970873
en,bert-base-multilingual-cased,title_and_first_sentence_each_paragraph,0.6878980891719746,0.7180851063829787,0.6601466992665037,0.535212776053001,0.595279879987414,0.5110080048703549,0.1262135922330097
en,distilbert-base-multilingual-cased,raw_text,0.683923705722071,0.7723076923076924,0.6136919315403423,0.5176578123897928,0.6376321772868764,0.4534751087471984,0.087378640776699
en,distilbert-base-multilingual-cased,title,0.5923836389280677,0.7,0.5134474327628362,0.4026361360172106,0.5345319704008729,0.3455603548782531,0.087378640776699
en,distilbert-base-multilingual-cased,title_and_10_sentences,0.6855600539811066,0.7650602409638554,0.6210268948655256,0.5217485197753808,0.6164952518695571,0.4647407697723656,0.058252427184466
en,distilbert-base-multilingual-cased,title_and_5_sentences,0.684931506849315,0.778816199376947,0.6112469437652812,0.4927065903219828,0.6221999752959506,0.4400037288634116,0.116504854368932
en,distilbert-base-multilingual-cased,title_and_first_paragraph,0.6621067031463748,0.7515527950310559,0.5916870415647921,0.4753183221292171,0.5983451686137108,0.4231344026609976,0.0970873786407767
en,distilbert-base-multilingual-cased,title_and_first_sentence_each_paragraph,0.6836461126005362,0.7566765578635015,0.6234718826405868,0.548053343604258,0.6692678666362876,0.4892374668740759,0.0679611650485436
en,facebook-mbart-large-50,raw_text,0.7108753315649867,0.7768115942028986,0.6552567237163814,0.5701384679262067,0.6642738285585307,0.5196764516110474,0.116504854368932
en,facebook-mbart-large-50,title,0.6657420249653261,0.7692307692307693,0.58679706601467,0.5109509593615095,0.6383097492583126,0.4430796522266384,0.0970873786407767
en,facebook-mbart-large-50,title_and_10_sentences,0.7175989085948158,0.8117283950617284,0.6430317848410758,0.5411898740130824,0.6689857458139137,0.4751483841336846,0.1262135922330097
en,facebook-mbart-large-50,title_and_5_sentences,0.7311827956989247,0.8119402985074626,0.6650366748166259,0.6057327407606834,0.7691222064527371,0.5376879265345955,0.1553398058252427
en,facebook-mbart-large-50,title_and_first_paragraph,0.7335092348284961,0.7965616045845272,0.6797066014669927,0.588279404375391,0.7496256175352815,0.5216147741934858,0.1262135922330097
en,facebook-mbart-large-50,title_and_first_sentence_each_paragraph,0.7083888149134487,0.7777777777777778,0.6503667481662592,0.5463352996230383,0.654117222839715,0.4931071756232435,0.1359223300970873
en,gpt2,raw_text,0.654054054054054,0.7311178247734139,0.5916870415647921,0.5054664250427245,0.6515342730630248,0.4598053236882138,0.0388349514563106
en,gpt2,title,0.6251691474966171,0.7,0.5647921760391198,0.4312530651326501,0.5205506452771239,0.3904590920809449,0.0485436893203883
en,gpt2,title_and_10_sentences,0.6604026845637584,0.7321428571428571,0.6014669926650367,0.4808699432968191,0.5643056697153336,0.4403348028160274,0.0679611650485436
en,gpt2,title_and_5_sentences,0.6776232616940581,0.7015706806282722,0.6552567237163814,0.5446285701061931,0.586585222640056,0.5251553938629479,0.087378640776699
en,gpt2,title_and_first_paragraph,0.6640522875816993,0.7134831460674157,0.6210268948655256,0.516410728430179,0.6282999972529648,0.4753852867387406,0.0776699029126213
en,gpt2,title_and_first_sentence_each_paragraph,0.6804123711340206,0.7193460490463215,0.6454767726161369,0.5039923625098182,0.5781463467658913,0.4779836606099228,0.058252427184466
en,xlm-roberta-large,raw_text,0.7004103967168263,0.7950310559006211,0.6259168704156479,0.5321867889654245,0.6354200785848444,0.4754237740872584,0.0970873786407767
en,xlm-roberta-large,title,0.6592489568845619,0.7645161290322581,0.5794621026894865,0.4873101258298507,0.6335871685250567,0.4212076337365622,0.0485436893203883
en,xlm-roberta-large,title_and_10_sentences,0.7100271002710027,0.7963525835866262,0.6405867970660146,0.5379896925448243,0.6638068527969253,0.4769911300855193,0.1262135922330097
en,xlm-roberta-large,title_and_5_sentences,0.721311475409836,0.8173374613003096,0.6454767726161369,0.5849317467808964,0.7125491146864061,0.5178699051713538,0.1553398058252427
en,xlm-roberta-large,title_and_first_paragraph,0.7103825136612023,0.804953560371517,0.6356968215158925,0.5400795209424104,0.6717620451879486,0.4737972269578941,0.116504854368932
en,xlm-roberta-large,title_and_first_sentence_each_paragraph,0.7091633466135457,0.7761627906976745,0.6528117359413202,0.5696999412497863,0.6678953108078146,0.5217401957196782,0.0679611650485436
fr,EleutherAI-gpt-neo-1.3B,raw_text,0.5,0.5714285714285714,0.4444444444444444,0.3845031040447618,0.5218701515693998,0.359208410636982,0.0714285714285714
fr,EleutherAI-gpt-neo-1.3B,title,0.368421052631579,0.546875,0.2777777777777778,0.2077982412477186,0.2506868131868132,0.189743351886209,0.0238095238095238
fr,EleutherAI-gpt-neo-1.3B,title_and_10_sentences,0.4285714285714286,0.5357142857142857,0.3571428571428571,0.2754947433518862,0.3700257136347362,0.2689502164502164,0.0476190476190476
fr,EleutherAI-gpt-neo-1.3B,title_and_5_sentences,0.4516129032258064,0.5384615384615384,0.3888888888888889,0.2986202197580935,0.4501004947433519,0.2843846629560915,0.0714285714285714
fr,EleutherAI-gpt-neo-1.3B,title_and_first_paragraph,0.4541062801932367,0.5802469135802469,0.373015873015873,0.2613785639647709,0.2941593702871898,0.2607050092764378,0.0952380952380952
fr,EleutherAI-gpt-neo-1.3B,title_and_first_sentence_each_paragraph,0.4864864864864864,0.5625,0.4285714285714285,0.3597050134687834,0.5131149871309092,0.3385003092145949,0.0714285714285714
fr,EleutherAI-gpt-neo-125M,raw_text,0.3383084577114427,0.4533333333333333,0.2698412698412698,0.178586356172563,0.2140708915145005,0.1696799628942486,0.0
fr,EleutherAI-gpt-neo-125M,title,0.3173076923076923,0.4024390243902439,0.2619047619047619,0.1750382769404508,0.2073934837092731,0.1666542980828695,0.0714285714285714
fr,EleutherAI-gpt-neo-125M,title_and_10_sentences,0.3964757709251101,0.4455445544554455,0.3571428571428571,0.2580446966514693,0.2794526901669759,0.2637615955473098,0.0714285714285714
fr,EleutherAI-gpt-neo-125M,title_and_5_sentences,0.3783783783783783,0.4375,0.3333333333333333,0.246485260770975,0.3185543988175566,0.2501978973407545,0.0476190476190476
fr,EleutherAI-gpt-neo-125M,title_and_first_paragraph,0.3141361256544502,0.4615384615384615,0.238095238095238,0.2129816951120297,0.3781712685074029,0.181312615955473,0.0238095238095238
fr,EleutherAI-gpt-neo-125M,title_and_first_sentence_each_paragraph,0.4390243902439025,0.569620253164557,0.3571428571428571,0.2655174937783633,0.4225020777541786,0.2359863945578231,0.0476190476190476
fr,bert-base-multilingual-cased,raw_text,0.5493562231759656,0.5981308411214953,0.5079365079365079,0.4256514821024499,0.5163775917065391,0.4145516388373531,0.0476190476190476
fr,bert-base-multilingual-cased,title,0.4285714285714286,0.5357142857142857,0.3571428571428571,0.2629118718603046,0.3502289377289377,0.2523500309214595,0.0476190476190476
fr,bert-base-multilingual-cased,title_and_10_sentences,0.4915254237288135,0.5272727272727272,0.4603174603174603,0.361960115064727,0.419670805385091,0.3726839826839827,0.0714285714285714
fr,bert-base-multilingual-cased,title_and_5_sentences,0.4748858447488584,0.5591397849462365,0.4126984126984127,0.3920119470783923,0.5365629984051036,0.3529761904761904,0.0714285714285714
fr,bert-base-multilingual-cased,title_and_first_paragraph,0.4205607476635514,0.5113636363636364,0.3571428571428571,0.266527948812144,0.3555999322806045,0.2624010513296227,0.0952380952380952
fr,bert-base-multilingual-cased,title_and_first_sentence_each_paragraph,0.5454545454545454,0.6,0.5,0.3447368825028399,0.4322572164677428,0.3565321583178726,0.1666666666666666
fr,distilbert-base-multilingual-cased,raw_text,0.4956521739130435,0.5480769230769231,0.4523809523809524,0.4171539848155322,0.5308784782468993,0.3822557204700061,0.0714285714285714
fr,distilbert-base-multilingual-cased,title,0.3773584905660377,0.4651162790697674,0.3174603174603174,0.2426636649750932,0.3126225490196078,0.2272588126159554,0.0476190476190476
fr,distilbert-base-multilingual-cased,title_and_10_sentences,0.5384615384615384,0.5833333333333334,0.5,0.4466929387491662,0.5474652540442013,0.4132560296846011,0.0476190476190476
fr,distilbert-base-multilingual-cased,title_and_5_sentences,0.4588744588744589,0.5047619047619047,0.4206349206349206,0.3486872915444343,0.3960885670057497,0.3407730364873221,0.0476190476190476
fr,distilbert-base-multilingual-cased,title_and_first_paragraph,0.426086956521739,0.4711538461538461,0.3888888888888889,0.2819979472534228,0.3099283652855082,0.288143166357452,0.0476190476190476
fr,distilbert-base-multilingual-cased,title_and_first_sentence_each_paragraph,0.5381165919282511,0.6185567010309279,0.4761904761904761,0.366391556622649,0.4411549458133309,0.3460621521335806,0.0476190476190476
fr,facebook-mbart-large-50,raw_text,0.5090909090909091,0.5957446808510638,0.4444444444444444,0.3987469957972623,0.5428804855275444,0.3587322201607916,0.0714285714285714
fr,facebook-mbart-large-50,title,0.4285714285714286,0.5357142857142857,0.3571428571428571,0.2425003697131026,0.2923861852433281,0.2460142238713667,0.0
