language,model_type,unit_of_analysis,index,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
en,KNN,raw_text,3,SMOTE,kNN_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6772497327646906,0.5347421226183526,0.1067961165048543,0.7699996017918791,0.7530548547573692,0.6381418092909535,0.4636508457086496
en,KNN,title_and_10_sentences,4,SVMSMOTE,kNN_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6828736649779704,0.5377742786377707,0.058252427184466,0.6788008049070353,0.5241097841212785,0.6992665036674817,0.5851146015967512
en,KNN,title_and_5_sentences,4,SVMSMOTE,kNN_SVMSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.663612014757174,0.5195461775472856,0.0194174757281553,0.6760757225550016,0.508961306404864,0.6601466992665037,0.5451978653409287
en,KNN,title_and_first_paragraph,2,Random Oversampling,kNN_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6075705004318201,0.3988150661164628,0.1262135922330097,0.7323527035866337,0.5634991203539591,0.5550122249388753,0.3465016094610015
en,KNN,title_and_first_sentence_each_paragraph,4,SVMSMOTE,kNN_SVMSMOTE,0.6830037687656625,0.5347626398545441,0.1508515815085158,0.8370441330592221,0.8067690429360157,0.6221397649969078,0.4564702640449573,0.6311480782707858,0.4604994462492805,0.0970873786407767,0.7901250386796195,0.6832514824111462,0.5550122249388753,0.378933118054971
en,LinearSVM,raw_text,5,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.9981437588642568,0.9986841134243996,0.9854014598540146,0.9981572527766964,0.9985515900058628,0.9981447124304268,0.9988278388278388,0.697437181582984,0.6172816778709659,0.0679611650485436,0.7461629861353192,0.6818951646019314,0.6674816625916871,0.5849269693047393
en,LinearSVM,title_and_10_sentences,7,No Upsampling,LinearSVMDual,0.9226036961127564,0.8966432997997936,0.5523114355231143,0.8928962338159949,0.8399140961557322,0.9598021026592456,0.97379391204776,0.703427188643217,0.587257283922573,0.0485436893203883,0.7263983388088848,0.5863901389288386,0.6968215158924206,0.6321835882582238
en,LinearSVM,title_and_5_sentences,6,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.8789232939522932,0.8289487108873118,0.3941605839416058,0.8966043813777613,0.8308270927273617,0.8806431663574521,0.866810508055149,0.6894583355273166,0.5422427305255028,0.087378640776699,0.7385928974833788,0.5939846255732955,0.6650366748166259,0.5375580760790368
en,LinearSVM,title_and_first_paragraph,7,No Upsampling,LinearSVMDual,0.9778064890773004,0.9642006782991316,0.8564476885644768,0.962243289753927,0.9355157669218216,0.995052566481138,0.9974688483807762,0.6744723619528051,0.5005961096449231,0.058252427184466,0.6934135824027519,0.5227532041733638,0.6650366748166259,0.4950307978787706
en,LinearSVM,title_and_first_sentence_each_paragraph,7,No Upsampling,LinearSVMDual,0.999693846935714,0.9992927864214992,0.9975669099756692,0.9993936968726884,0.9985994397759104,1.0,1.0,0.6644525170597425,0.5081537423919559,0.116504854368932,0.7330940507533396,0.6004690817237438,0.6210268948655256,0.4613943788124763
en,LogisticRegression,raw_text,13,SMOTE,LogisticRegression_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6844053552121736,0.6178905583581592,0.0679611650485436,0.742262449239811,0.7152926114238853,0.6479217603911981,0.5650575326401363
en,LogisticRegression,title,3,SMOTE,LogisticRegression_SMOTE,0.9793266580930448,0.9694532853908566,0.94647201946472,0.9769046327760612,0.9614082613335612,0.9826839826839828,0.9799511201393876,0.5649491896111609,0.4281845670328696,0.029126213592233,0.6039340254936083,0.4416833207865551,0.5476772616136919,0.4515072245234422
en,LogisticRegression,title_and_10_sentences,10,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6420747535320767,0.5175291829234332,0.0194174757281553,0.6560295385612873,0.5223648718375945,0.6381418092909535,0.5297526124869337
en,LogisticRegression,title_and_5_sentences,10,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6210686713728252,0.459366240448435,0.0485436893203883,0.6356783839764377,0.4612039640234909,0.6136919315403423,0.4658125875393488
en,LogisticRegression,title_and_first_paragraph,10,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6280467679724784,0.435517490948102,0.0388349514563106,0.6596510103600945,0.4800193555113944,0.6112469437652812,0.4197300718422599
en,LogisticRegression,title_and_first_sentence_each_paragraph,10,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6827479126822654,0.5754476307426248,0.0679611650485436,0.7014148994528779,0.5867524477395039,0.6772616136919315,0.5869383802100315
en,LogisticRegressionElasticNet,raw_text,17,Random Oversampling,LogisticRegressionElasticNet_ROS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6929836363180548,0.6241349136530246,0.087378640776699,0.7549952321743115,0.7238359869756421,0.6528117359413202,0.5684027520947782
en,LogisticRegressionElasticNet,title_and_10_sentences,15,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6572574657605167,0.5323559881029944,0.0485436893203883,0.6851237998380088,0.5725480228907915,0.6405867970660146,0.5169166994327673
