language,unit_of_analysis,f1-mico_mean,f1-mico_std,precision-micro_mean,precision-micro_std,recall-micro_mean,recall-micro_std,roc-auc_mean,roc-auc_std,accuracy_mean,accuracy_std
en,title_and_first_paragraph,0.6775054850937755,0.01488812547334771,0.7140709120626468,0.05220212540602986,0.6465611652676111,0.02045390134184317,0.7722163792567214,0.005082042428203261,0.08559998186681173,0.008881958517201643
fr,title_and_first_paragraph,0.42499973789388407,0.016344058516595285,0.5140543828500034,0.010685453932709955,0.3623368144878241,0.01843783829172846,0.6346238603152522,0.005623181371228874,0.047417840375586856,0.0359932333787822
ge,title_and_first_paragraph,0.5168900742194965,0.022751255461093214,0.550989380989381,0.01558803058791749,0.48714569245948497,0.031018499484224537,0.6534911505341755,0.020512045017072728,0.03409312293006039,0.016952511137975527
it,title_and_first_paragraph,0.4613212994835085,0.031206456828723556,0.5199041360724413,0.05459409034035725,0.4156602128030699,0.02204415639221944,0.6352953092606782,0.0187831224565154,0.016501650165016504,0.01512401219457373
po,title_and_first_paragraph,0.5311825698499283,0.012791208019941132,0.5892772570031756,0.03391582524819187,0.4844331996836419,0.015939292829202374,0.6496252032269162,0.00791490120781106,0.020592948717948718,0.008813738337462846
ru,title_and_first_paragraph,0.1314078743651384,0.046389022891233984,0.4251785714285714,0.13011021132807654,0.07776799464768108,0.028216080638530705,0.5280115896109425,0.015008349435175912,0.03141534391534392,0.0312513122257454
