language,model_type,unit_of_analysis,run_uuid,runName,model_name,exp_id,train_recall_macro_std,train_recall_micro_mean,test_accuracy_mean,train_precision_micro_std,test_f1_macro_mean,test_recall_macro_std,test_recall_micro_std,test_recall_macro_mean,test_accuracy_std,test_f1_micro_mean,train_f1_micro_std,train_accuracy_std,train_f1_macro_mean,test_precision_macro_std,train_recall_micro_std,test_precision_micro_mean,test_precision_micro_std,train_f1_micro_mean,train_accuracy_mean,train_precision_macro_mean,test_recall_micro_mean,test_f1_macro_std,train_precision_macro_std,test_precision_macro_mean,train_recall_macro_mean,test_f1_micro_std,train_f1_macro_std,train_precision_micro_mean,min_df,multilabel_type,base_estimator_name,model_subtype,min_var,n_features,tfidf,corr_threshold,analysis_level,spacy_model_used,max_df,vectorizer_max_features,is_count_vectorizer,n_gram_range_start,n_gram_range_end
en,Binary Relevance kNN,raw_text,eae0cd7ce8034a849a4eec072e3a5c2c,calm-shrimp-930,BRkNNaClassifier,807909438352974172,0.062891651747844,0.7391641341347452,0.1147130786014217,0.014059254094839,0.5055761440491235,0.0401879713182994,0.028214920484849,0.4641843533340581,0.0139593347600187,0.6414798353736346,0.0354567656113591,0.0408901911907351,0.682535431610138,0.0493439303068225,0.0463974784930225,0.698683260168197,0.0220293135719287,0.7761569512417671,0.2383105183872881,0.815616103918947,0.6163662748413609,0.0408500009917459,0.020094860525803,0.6310138966696256,0.6172219821599318,0.0279902900998086,0.05604274670668,0.8401914444874256,0.0183689078951513,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNaClassifier())])",Natively Multilabel,0.0,496,True,0.9835017091546786,model_wide,en_core_web_sm,0.5077946773353201,542,False,1,3
en,Binary Relevance kNN,title,d6e94ff67a734b35aade304a10301565,puzzled-smelt-532,BRkNNaClassifier,273033574720674010,0.0319716126301996,0.6675774089504625,0.0485103960602114,0.0461862432871104,0.4020327594025206,0.0196567422661674,0.0282003991595549,0.3787231002341943,0.0188348582814001,0.543117452253684,0.0295664384207759,0.03168741406491,0.5702955164908898,0.0153760685136687,0.0090739409484926,0.5811360712980903,0.0028345492825066,0.6827263062080823,0.1584046463503169,0.7201544965245922,0.5389338442517136,0.0134891706618244,0.0768516494974047,0.4725107382931362,0.519106278634116,0.0108593442563261,0.0510089757190109,0.7485235765518755,0.0122100595868536,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNaClassifier())])",Natively Multilabel,0.0,102,True,1.0,model_wide,en_core_web_sm,0.6924192928979804,847,False,1,3
en,Binary Relevance kNN,title_and_10_sentences,30749bde81c543f5b55fb0a1e87f3517,fearless-sheep-113,BRkNNaClassifier,355639059688649620,0.0687650616850884,0.7218559367305994,0.0796333519197427,0.039493397400227,0.4671370769377072,0.0100593889276368,0.0208854260760092,0.4407552427835953,0.0146967568163194,0.6194506343054152,0.0399655693562016,0.0406239056233346,0.6365164270430532,0.0447520933118643,0.0318228202613148,0.6578475539341659,0.0269369424310471,0.7553188870704548,0.211898244768991,0.7584371842109195,0.6090819378534156,0.0130590359964527,0.0852067790051183,0.5517980083078712,0.5769518296668744,0.015363276408391,0.0809954759119564,0.8189699856153325,0.0153350367389407,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNaClassifier())])",Natively Multilabel,0.0,565,True,0.998420577869467,model_wide,en_core_web_sm,0.7477288327375895,600,False,1,3
en,Binary Relevance kNN,title_and_5_sentences,bc7df99defa545f1af6ae7c1e565fa2d,persistent-crane-880,BRkNNaClassifier,931662350433327692,0.0373592654517573,0.6932541973998649,0.0835429275795536,0.0151581669171153,0.4603175569994532,0.0283798585279411,0.034523102970813,0.4191555630478478,0.0275748012844319,0.610089738641403,0.0306658861409619,0.0539087145239029,0.6060554668529595,0.0283259734646856,0.0389015909373124,0.6709955809387087,0.0206676535340885,0.7363995083572675,0.1937793575130254,0.8040998282773556,0.5783516973035874,0.0270591010395409,0.0177739992146209,0.5654212313553809,0.539692860341638,0.0275121501145728,0.0326649753213141,0.831788603700352,0.004323430735563,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNaClassifier())])",Natively Multilabel,0.0,501,True,0.997000692291258,model_wide,en_core_web_sm,0.4499401223803614,510,False,1,3
en,Binary Relevance kNN,title_and_first_paragraph,9f4d22c6a2b34fb2a946e1a1e84b0255,polite-snail-777,BRkNNaClassifier,100620624902858543,0.0479310209625495,0.7008957573583329,0.0641734894167499,0.0188218594693999,0.441983248766947,0.0292081484345715,0.0192019650504801,0.4155903462095492,0.0205997187917665,0.5896761812440894,0.0326437456701087,0.0379579783621814,0.5947453773286989,0.0368050966775605,0.038298454335264,0.6284540328553317,0.0289659942084626,0.7251162096820355,0.1868490271679169,0.7470904476284502,0.5759657902870962,0.0300614273893113,0.0397531160001405,0.5111559491171915,0.543240045919513,0.0181473255458801,0.0473307027029169,0.7932062451118681,0.008294590828075,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNaClassifier())])",Natively Multilabel,0.0,294,True,1.0,model_wide,en_core_web_sm,0.7690768951860975,303,False,1,3
en,Binary Relevance kNN,title_and_first_sentence_each_paragraph,670833a95f054c088232d1834cf02e98,unique-worm-40,BRkNNaClassifier,792380573152177938,0.0827918786858256,0.7160730970575327,0.1031635871823241,0.0311366412758815,0.4770865299506917,0.015670222357749,0.0144450797587407,0.4371275997930466,0.0287047434303944,0.6251060166270426,0.0566774848492639,0.0494233158525522,0.6357551549812932,0.0319673715347221,0.0587268401183552,0.6801179634968638,0.0225200499451761,0.7519590264053216,0.2100658165026659,0.8101255425206167,0.6011718849433626,0.0085289348299724,0.0455558051946964,0.5813383550499308,0.5715295120734009,0.0136543329750277,0.0855171117574148,0.8330775092453311,0.0120018187101439,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', BRkNNaClassifier())])",Natively Multilabel,0.0,426,True,1.0,model_wide,en_core_web_sm,0.442844212691615,439,False,1,3
en,ComplementNB,raw_text,5781cbbb67e44202bc0fc9b19fda07f5,bold-shrimp-357,RakelD_ComplementNB,403167328154701574,0.0031903020906071,0.847479106190078,0.0429572753861585,0.0050417032009151,0.5753444250003324,0.0303904209210467,0.0146706766698297,0.6420908562768861,0.0222047336891764,0.6908350797192458,0.0028603436401478,0.005378432843782,0.7338602282293062,0.0120761674362465,0.0026196524724534,0.6780533772741307,0.0113525233910759,0.7997460312184531,0.1585406487303586,0.6712190791208211,0.721564914816633,0.011088123606542,0.0097590231125908,0.5461608729886436,0.8602860597434843,0.0107252244940151,0.0066531513052175,0.7747915243749536,0.0334043145256828,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', RakelD())])",RakelD Partitioning of labels,0.0,683,True,0.9832608554243396,model_wide,en_core_web_sm,0.6993834564593098,744,False,1,3
en,ComplementNB,title,7303d9d5835349a893d4192d099d45ba,blushing-seal-414,RakelD_ComplementNB,757983363091973758,0.0059339300105048,0.9197962674865168,0.0525335847934005,0.0051514127362638,0.4886964039000022,0.0113713479113115,0.0029667706758,0.5003148180762362,0.0170965821628399,0.6011016261635179,0.0034228757473933,0.0066333450395832,0.8266706714643185,0.008779464295255,0.0113538317712989,0.5963868643952672,0.0156362040516354,0.8647951524607178,0.4416357169291398,0.7529518350477823,0.6115375052273677,0.0091718650675187,0.0025603772654906,0.48517709113469,0.9370551256698644,0.008420273548242,0.0022147673103075,0.8255346042068861,0.0009125325579342,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', RakelD())])",RakelD Partitioning of labels,0.0,373,True,1.0,model_wide,en_core_web_sm,0.7324638229547363,410,False,1,3
en,ComplementNB,title_and_10_sentences,b42c4bc6abc04f80ab092290b739b98e,serious-steed-542,RakelD_ComplementNB,552599055394178324,0.0119501955122847,0.8736644842174838,0.0485776093953371,0.0063214743112329,0.5570110453323965,0.0387467984167118,0.02424593025221,0.5759483639046884,0.0151196524106151,0.6729819417146481,0.00394538462429,0.0152873190355006,0.7997197894333005,0.0043547598765788,0.0111711233304991,0.6742032727331435,0.0215276595547538,0.8350662328792712,0.2519930984757145,0.7408412104351682,0.6820929244168076,0.0155762943330184,0.0113499713598143,0.5551653147114007,0.8971728064250897,0.0186811837528204,0.012647407572394,0.8112043987163867,0.0130351502108598,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', RakelD())])",RakelD Partitioning of labels,0.0,560,True,0.970843290038614,model_wide,en_core_web_sm,0.4786276416770125,611,False,1,3
en,ComplementNB,title_and_5_sentences,fbe6cf0900c84c4992240f6ddc4207dc,invincible-trout-81,RakelD_ComplementNB,977309009503569613,0.0209213614893555,0.9325995781804792,0.0757565875034103,0.0090342669963098,0.5324147590924503,0.0262026057453123,0.0183720041919171,0.5067867472194627,0.0214639723327499,0.6649959771396456,0.0057580744959781,0.0126513728071118,0.8974193884192143,0.020264126045092,0.0149970463309522,0.6911612710307891,0.0226205765925994,0.916785932285634,0.5350683578483091,0.8637713641432573,0.651981445117184,0.0227129014691948,0.025817333962432,0.5780939348746229,0.9464034020771908,0.0177105812149428,0.0111916448342924,0.9065894711442438,0.01,mutilabel,"Pipeline(steps=[('preproc', StandardScaler(with_mean=False)),
                ('model', RakelD())])",RakelD Partitioning of labels,0.0,1320,True,1.0,model_wide,en_core_web_sm,0.675,10000,False,1,3
