Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,analysis_level,corr_threshold,language,max_df,max_features,min_df,min_var,model_type,multilabel_type,n_features,n_gram_range_end,n_gram_range_start,spacy_model_used,tfidf,unit_of_analysis,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,precision_macro_mean,precision_macro_std,precision_micro_mean,precision_micro_std,recall_macro_mean,recall_macro_std,recall_micro_mean,recall_micro_std
2022-10-31 16:51:45,35ms,d918999394674bcc809a1bb641cad42b,masked-shoat-491,LOCAL,/home/juanbermeo/SynologyDrive/Framing/benchmark_subtask_2.py,juanbermeo,FINISHED,model_wide,0.9,en,0.95,1,0.05,0.001,DummyClassifier(strategy='stratified'),independent,1208,1,1,en_core_web_sm,True,raw_text,0.0069767441860465115,0.01065715277896707,0.2552173931829104,0.037986251186417415,0.3959620891306229,0.03749904367749563,0.2631290851742221,0.05263167849552968,0.395038217822952,0.0512491126732571,0.2673015105637574,0.045627691086156184,0.4044746261829773,0.0537961503765515
2022-10-31 15:32:22,31ms,0d0da32dc34148ccb40d625066e68c95,bright-fox-289,LOCAL,/home/juanbermeo/SynologyDrive/Framing/benchmark_subtask_2.py,juanbermeo,FINISHED,model_wide,0.9,en,0.95,1,0.05,0.001,DummyClassifier(strategy='uniform'),independent,666,1,1,en_core_web_sm,True,title_and_first_sentence_each_paragraph,0,0,0.30237040047835284,0.050111489689917244,0.34554451691286203,0.05215916624488333,0.2677482153306649,0.04792353153328593,0.26726203137583476,0.04995302665107688,0.48641073956373077,0.0717321015949339,0.4944815903429983,0.04691043618213796
2022-10-31 15:32:08,39ms,49a59eef25fd40008db925c2af4944c4,abundant-midge-111,LOCAL,/home/juanbermeo/SynologyDrive/Framing/benchmark_subtask_2.py,juanbermeo,FINISHED,model_wide,0.9,en,0.95,1,0.05,0.001,DummyClassifier(),independent,666,1,1,en_core_web_sm,True,title_and_first_sentence_each_paragraph,0.002325581395348837,0.0069767441860465115,0.09879841786889496,0.006657438955518183,0.37384464737440704,0.04100842376276337,0.07605330715795833,0.0077253493896485715,0.5323731501057083,0.054077445727540044,0.14285714285714285,0,0.2901020018825202,0.0410025321176423
2022-10-31 15:32:00,26ms,e6395e3c9c4d4aa4b94ba7a0840d6457,thoughtful-swan-827,LOCAL,/home/juanbermeo/SynologyDrive/Framing/benchmark_subtask_2.py,juanbermeo,FINISHED,model_wide,0.9,en,0.95,1,0.05,0.001,DummyClassifier(strategy='uniform'),independent,328,1,1,en_core_web_sm,True,title_and_10_sentences,0,0,0.3099519967883594,0.040859496523740366,0.3513699859036559,0.03907224459023173,0.26875579762961693,0.03871513296500263,0.27058946766069436,0.040685469774761576,0.49186168921383244,0.050068865364859126,0.5072343172320364,0.03007079609488721
2022-10-31 15:31:48,27ms,9902aa496cbd4d8db75a327fef43739f,fortunate-wolf-739,LOCAL,/home/juanbermeo/SynologyDrive/Framing/benchmark_subtask_2.py,juanbermeo,FINISHED,model_wide,0.9,en,0.95,1,0.05,0.001,DummyClassifier(strategy='uniform'),independent,168,1,1,en_core_web_sm,True,title_and_5_sentences,0,0,0.3011357653220596,0.03571683333318626,0.3415406072549084,0.03357870334384482,0.26135459839031183,0.036877285701830596,0.2607549006308479,0.035656009812326264,0.489033693300548,0.04511969235942324,0.5015730911957451,0.03257101636843711
2022-10-31 15:31:45,41ms,6c960ee519cc42559cba7fbbc82d8480,sassy-stag-701,LOCAL,/home/juanbermeo/SynologyDrive/Framing/benchmark_subtask_2.py,juanbermeo,FINISHED,model_wide,0.9,en,0.95,1,0.05,0.001,DummyClassifier(),independent,328,1,1,en_core_web_sm,True,title_and_10_sentences,0.002325581395348837,0.0069767441860465115,0.09879841786889496,0.006657438955518183,0.37384464737440704,0.04100842376276337,0.07605330715795833,0.0077253493896485715,0.5323731501057083,0.054077445727540044,0.14285714285714285,0,0.2901020018825202,0.0410025321176423
2022-10-31 15:31:41,25ms,e16c29fd99714f4f86241ae47392dfb7,legendary-frog-301,LOCAL,/home/juanbermeo/SynologyDrive/Framing/benchmark_subtask_2.py,juanbermeo,FINISHED,model_wide,0.9,en,0.95,1,0.05,0.001,DummyClassifier(strategy='uniform'),independent,77,1,1,en_core_web_sm,True,title_and_first_paragraph,0,0,0.3046945751742605,0.03727402999784894,0.3477662454849023,0.034110586381430615,0.2712690932468164,0.035547111109481014,0.26799523599988173,0.03747070237909897,0.4576034595496357,0.05859658320724027,0.5024719203365878,0.03217772246606678
2022-10-31 15:31:35,30ms,ae2c4408a9d14ff1be4d0b01e3bc1531,burly-slug-457,LOCAL,/home/juanbermeo/SynologyDrive/Framing/benchmark_subtask_2.py,juanbermeo,FINISHED,model_wide,0.9,en,0.95,1,0.05,0.001,DummyClassifier(strategy='uniform'),independent,3,1,1,en_core_web_sm,True,title,0,0,0.2967674741423649,0.031823753453911495,0.34184405116855643,0.030644307131369026,0.2628990549133118,0.032397812974238466,0.2633193245952596,0.03158665099561426,0.4621726134912634,0.04786102700222329,0.49565224236765565,0.056302078125190454
2022-10-31 15:31:34,26ms,277a68b722a04d16bfe66274e2295050,wistful-turtle-344,LOCAL,/home/juanbermeo/SynologyDrive/Framing/benchmark_subtask_2.py,juanbermeo,FINISHED,model_wide,0.9,en,0.95,1,0.05,0.001,DummyClassifier(),independent,168,1,1,en_core_web_sm,True,title_and_5_sentences,0.002325581395348837,0.0069767441860465115,0.09879841786889496,0.006657438955518183,0.37384464737440704,0.04100842376276337,0.07605330715795833,0.0077253493896485715,0.5323731501057083,0.054077445727540044,0.14285714285714285,0,0.2901020018825202,0.0410025321176423
2022-10-31 15:31:27,28ms,997c49ba7e7540cf82c90af07716530e,stylish-doe-70,LOCAL,/home/juanbermeo/SynologyDrive/Framing/benchmark_subtask_2.py,juanbermeo,FINISHED,model_wide,0.9,en,0.95,1,0.05,0.001,DummyClassifier(),independent,77,1,1,en_core_web_sm,True,title_and_first_paragraph,0.002325581395348837,0.0069767441860465115,0.09879841786889496,0.006657438955518183,0.37384464737440704,0.04100842376276337,0.07605330715795833,0.0077253493896485715,0.5323731501057083,0.054077445727540044,0.14285714285714285,0,0.2901020018825202,0.0410025321176423
