language,unit_of_analysis,model_type,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
it,title_and_first_paragraph,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.3693532881376407,0.2780576988566082,0.053497942386831275,0.6269303735090044,0.5397496125114883,0.2858683926645092,0.20925756018338043,0.3278563733932463,0.2329803172260426,0.05,0.5035841228015141,0.3799580842437985,0.27391304347826084,0.19154761029761033
it,title_and_first_paragraph,KNN,No Upsampling,kNN,0.9983717765139732,0.9986624040647222,0.9958847736625515,1.0,1.0,0.9967637540453075,0.9973427247415253,0.32803519820176025,0.23049374242737564,0.06666666666666667,0.43483695652173915,0.3241071428571428,0.28695652173913044,0.1975534770177627
it,title_and_first_paragraph,KNN,Random Oversampling,kNN_ROS,0.21378795914464974,0.13709388437649309,0.00823045267489712,0.2279789041266331,0.1450022219943254,0.22761596548004315,0.14714285714285716,0.11034098662523531,0.06307903195311022,0.0,0.2604274134119381,0.13861985472154964,0.13478260869565217,0.07975182975182975
it,title_and_first_paragraph,KNN,SMOTE,kNN_SMOTE,0.9983717765139732,0.9986624040647222,0.9958847736625515,1.0,1.0,0.9967637540453075,0.9973427247415253,0.2874356338230579,0.20108578900667817,0.06666666666666667,0.4839931083409344,0.3677766677766678,0.23478260869565218,0.16090394465394464
it,title_and_first_paragraph,KNN,SVMSMOTE,kNN_SVMSMOTE,0.5707859990085614,0.49074907700778553,0.10699588477366255,0.7434281402955034,0.7267188101732639,0.4962243797195254,0.4085333246817772,0.363673544352203,0.26308398967621366,0.06666666666666667,0.4199930564671582,0.3057855143426413,0.34347826086956523,0.24999725446154017
it,title_and_first_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.9983918432043313,0.9986801927978399,0.9958847736625515,0.9968033558249443,0.9973777964483267,1.0,1.0,0.4079034197433141,0.3006909092722882,0.08333333333333333,0.5178547626592799,0.3971630113850523,0.3739130434782609,0.27325023021451594
it,title_and_first_paragraph,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.9978579171040621,0.9979586920763391,0.9917695473251029,0.9957461821464114,0.9959492250197552,1.0,1.0,0.4152449769459479,0.31073405416932093,0.08333333333333333,0.4835062191812764,0.3648013014554368,0.3869565217391304,0.29045223741652315
it,title_and_first_paragraph,LinearSVM,No Upsampling,LinearSVMDual,0.9978579171040621,0.9979586920763391,0.9917695473251029,0.9957461821464114,0.9959492250197552,1.0,1.0,0.4278812980939174,0.32093400501937086,0.08333333333333333,0.4702898550724638,0.35377860235003095,0.41304347826086957,0.3106675351318208
it,title_and_first_paragraph,LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.9983918432043313,0.9986801927978399,0.9958847736625515,0.9968033558249443,0.9973777964483267,1.0,1.0,0.42367170382981006,0.3137137475505246,0.06666666666666667,0.4646632041122296,0.34454742712131875,0.40869565217391307,0.304384466348752
it,title_and_first_paragraph,LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.9978579171040621,0.9979586920763391,0.9917695473251029,0.9957461821464114,0.9959492250197552,1.0,1.0,0.4217566206620703,0.31496398305067247,0.06666666666666667,0.519041270455402,0.3989551252462424,0.3826086956521739,0.2828108797751655
it,title_and_first_paragraph,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.9983918432043313,0.9986801927978399,0.9958847736625515,0.9968033558249443,0.9973777964483267,1.0,1.0,0.4437798038324766,0.3632285013334228,0.05,0.46303645427621215,0.3708822561902843,0.4434782608695652,0.375200069842927
it,title_and_first_paragraph,LogisticRegression,No Upsampling,LogisticRegression,0.9983918432043313,0.9986801927978399,0.9958847736625515,0.9968033558249443,0.9973777964483267,1.0,1.0,0.4033990181111275,0.29557970496589414,0.1,0.4707103622433693,0.3541669808840345,0.3695652173913043,0.2678255197898055
it,title_and_first_paragraph,LogisticRegression,Random Oversampling,LogisticRegression_ROS,0.9983869397000577,0.9986772411429946,0.9917695473251029,0.9978723860201881,0.9980212970918273,0.9989212513484358,0.9993506493506493,0.4016697818200169,0.2978720642174183,0.08333333333333333,0.5084148527240139,0.3916746916552465,0.3695652173913043,0.27200023021451597
it,title_and_first_paragraph,LogisticRegression,SMOTE,LogisticRegression_SMOTE,0.9983918432043313,0.9986801927978399,0.9958847736625515,0.9968033558249443,0.9973777964483267,1.0,1.0,0.40326201791485516,0.302766230891045,0.1,0.47963778862910533,0.3667073982077194,0.3695652173913043,0.2763931946074803
it,title_and_first_paragraph,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,0.9983918432043313,0.9986801927978399,0.9958847736625515,0.9968033558249443,0.9973777964483267,1.0,1.0,0.4365150963889085,0.33907346751936535,0.05,0.4638828037274479,0.36506409728092226,0.4260869565217391,0.3294740653669225
it,title_and_first_paragraph,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,0.9983918432043313,0.9986801927978399,0.9958847736625515,0.9968033558249443,0.9973777964483267,1.0,1.0,0.43067307752074263,0.3407910363624457,0.08333333333333333,0.46303897153136075,0.3645564791259762,0.4217391304347826,0.3375231105588248
