language,unit_of_analysis,f1-mico_mean,f1-mico_std,precision-micro_mean,precision-micro_std,recall-micro_mean,recall-micro_std,roc-auc_mean,roc-auc_std,accuracy_mean,accuracy_std
en,title_and_first_paragraph,0.657757487981667,0.0064747097402746475,0.7425766271878967,0.034211472641123064,0.5914736011623944,0.02193428390139642,0.7554525040405604,0.00639616522834441,0.0934199193073122,0.021269712807028055
fr,title_and_first_paragraph,0.5014187477965383,0.020493131959275625,0.5896021726803354,0.045498823570858035,0.43703670911286085,0.016862735740062976,0.6769814944664976,0.007904106340834419,0.052045606975184434,0.015914886695971575
ge,title_and_first_paragraph,0.5636057956993717,0.0018099172985279665,0.6277149799883145,0.023098928585115985,0.5120684110524066,0.01572023071370806,0.6865046354976593,0.0048137500747783305,0.017046561465030197,0.01694999225366386
it,title_and_first_paragraph,0.49521257484601366,0.04557035701433558,0.5663062922921366,0.053586210525692464,0.44004796790511075,0.040214494614520445,0.656814230646028,0.02808762425040562,0.052805280528052806,0.03182723023430018
po,title_and_first_paragraph,0.5836018723823603,0.04358991325824226,0.6366163644069687,0.05808090914654849,0.5395510073636358,0.041008013132808954,0.6855713578884793,0.02195444087239582,0.04126602564102564,0.009097639400023502
ru,title_and_first_paragraph,0.4106024244388647,0.009074318945983033,0.5384715961723421,0.03721947516811576,0.3334737685879472,0.024277847068833035,0.6361732814453757,0.008474381956603539,0.11028439153439153,0.057851707119037386
