language,unit_of_analysis,f1-mico_mean,f1-mico_std,precision-micro_mean,precision-micro_std,recall-micro_mean,recall-micro_std,roc-auc_mean,roc-auc_std,accuracy_mean,accuracy_std
en,title_and_first_sentence_each_paragraph,0.6674239082702554,0.0065264657782756474,0.7502780525159055,0.016421417036730526,0.6011875175155753,0.0070554084724918815,0.7614341241005409,0.002234284543532408,0.08754929960560315,0.0002944462817164563
fr,title_and_first_sentence_each_paragraph,0.5238950036870783,0.022103040000976883,0.6183569896022446,0.007922179943681582,0.4551577631841945,0.03325272905902734,0.6894639120558542,0.014508200460882973,0.09007377598926895,0.03603819636781462
ge,title_and_first_sentence_each_paragraph,0.5811156836552899,0.007070378987974211,0.6569709528246764,0.03387293562360374,0.5217080118626604,0.009636644198190448,0.6990338906848258,0.0012263889581860489,0.04568478472628093,0.036101933508767226
it,title_and_first_sentence_each_paragraph,0.5225005119799527,0.03327351386749553,0.6020757727250284,0.037664278557213784,0.4626921332635618,0.04067863862511089,0.6735990375028664,0.01931589996734321,0.0759075907590759,0.02286535719562874
po,title_and_first_sentence_each_paragraph,0.6085650532669443,0.02244250312390728,0.6748376002713803,0.07928602899631974,0.560342424518267,0.052285446285512356,0.7046115228418758,0.00974090450244974,0.046314102564102566,0.01514486669401508
ru,title_and_first_sentence_each_paragraph,0.47368311001430324,0.04527966459515724,0.604111006338729,0.020436887906591383,0.3925591405993587,0.06438668387416714,0.6685036778537835,0.02585502787869285,0.13128306878306878,0.06500918209625249
