language,unit_of_analysis,f1-mico_mean,f1-mico_std,precision-micro_mean,precision-micro_std,recall-micro_mean,recall-micro_std,roc-auc_mean,roc-auc_std,accuracy_mean,accuracy_std
en,title_and_5_sentences,0.6656076250992852,,0.6925619834710743,,0.6406727828746177,,0.7668881155752398,,0.10526315789473684,
fr,title_and_5_sentences,0.5744680851063829,,0.6171428571428571,,0.5373134328358209,,0.7264120758126141,,0.09859154929577464,
ge,title_and_5_sentences,0.5761316872427983,,0.6422018348623854,,0.5223880597014925,,0.689502853380158,,0.08620689655172414,
it,title_and_5_sentences,0.5199999999999999,,0.56,,0.48533333333333334,,0.6738504972730189,,0.0594059405940594,
po,title_and_5_sentences,0.6215780998389694,,0.6942446043165468,,0.5626822157434402,,0.7044875816511053,,0.03125,
ru,title_and_5_sentences,0.4773662551440329,,0.5858585858585859,,0.4027777777777778,,0.6741282505910166,,0.109375,
