language,unit_of_analysis,f1-mico_mean,f1-mico_std,precision-micro_mean,precision-micro_std,recall-micro_mean,recall-micro_std,roc-auc_mean,roc-auc_std,accuracy_mean,accuracy_std
en,raw_text,0.688709677419355,,0.7286689419795221,,0.6529051987767585,,0.7807629442159654,,0.07602339181286549,
fr,raw_text,0.5181058495821728,,0.5886075949367089,,0.4626865671641791,,0.6903596770247125,,0.07042253521126761,
ge,raw_text,0.5858585858585859,,0.6387665198237885,,0.5410447761194029,,0.6951547410008778,,0.0,
it,raw_text,0.5303514376996805,,0.6613545816733067,,0.44266666666666665,,0.6804286172601861,,0.0891089108910891,
po,raw_text,0.6249999999999999,,0.6549520766773163,,0.597667638483965,,0.7011846329852013,,0.015625,
ru,raw_text,0.2062780269058296,,0.2911392405063291,,0.1597222222222222,,0.5426270685579196,,0.015625,
