language,model_type,model_subtype,model_name,unit_of_analysis,index,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
en,KNN,SVMSMOTE,kNN_SVMSMOTE,title_and_first_paragraph,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5570369695521502,0.3522998269208787,0.1067961165048543,0.7096463257279185,0.5436221961884198,0.508557457212714,0.3021098740899415
en,KNN,SVMSMOTE,kNN_SVMSMOTE,title_and_first_sentence_each_paragraph,4,0.6830037687656625,0.5347626398545441,0.1508515815085158,0.8370441330592221,0.8067690429360157,0.6221397649969078,0.4564702640449573,0.6311480782707858,0.4604994462492805,0.0970873786407767,0.7901250386796195,0.6832514824111462,0.5550122249388753,0.378933118054971
en,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,raw_text,5,0.9981437588642568,0.9986841134243996,0.9854014598540146,0.9981572527766964,0.9985515900058628,0.9981447124304268,0.9988278388278388,0.697437181582984,0.6172816778709659,0.0679611650485436,0.7461629861353192,0.6818951646019314,0.6674816625916871,0.5849269693047393
en,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,title_and_10_sentences,5,0.9629373621684912,0.9511679112531182,0.7883211678832117,0.9570021574848466,0.9568712631306528,0.9703153988868276,0.9490047787356436,0.6729225483434644,0.5279252116728229,0.087378640776699,0.7242399493293602,0.6029774083044052,0.6381418092909535,0.4879002742152508
en,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,title_and_5_sentences,5,0.9392326202595068,0.9245689395382832,0.6447688564476886,0.9422049771372272,0.9165104473123512,0.938157081014224,0.9369518862322064,0.6776022001535265,0.5140682274400025,0.0970873786407767,0.7249313920516053,0.5716419724325518,0.6479217603911981,0.4870728402335075
en,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,title_and_first_paragraph,5,0.9639384622270456,0.9505143105456956,0.7858880778588808,0.9522260023903673,0.9250987431676916,0.9771181199752628,0.9808186920376464,0.6534128621074258,0.4807624489422823,0.0776699029126213,0.7133589210550805,0.5583583642951546,0.6161369193154034,0.4408962043513706
en,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,title_and_first_sentence_each_paragraph,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6465126497659233,0.4715413519452779,0.0970873786407767,0.7335844700866995,0.6114676639886724,0.5990220048899756,0.4180603241923738
en,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,raw_text,6,0.9955966248985818,0.9943316528627028,0.9659367396593674,0.9981136482309706,0.9982969097461852,0.9931972789115646,0.990536179446828,0.6868354204151532,0.5766182639836736,0.0485436893203883,0.7450506573432005,0.677722896168812,0.6528117359413202,0.524491702826586
en,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,title_and_10_sentences,6,0.9530045113818472,0.9442984040367024,0.7299270072992701,0.9606149807666672,0.9560363790731012,0.9474335188620904,0.9358107295068836,0.673361637940223,0.520269882923744,0.1067961165048543,0.7610663490826529,0.6436986484790513,0.6185819070904646,0.4553385425514728
en,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,title_and_5_sentences,6,0.8789232939522932,0.8289487108873118,0.3941605839416058,0.8966043813777613,0.8308270927273617,0.8806431663574521,0.866810508055149,0.6894583355273166,0.5422427305255028,0.087378640776699,0.7385928974833788,0.5939846255732955,0.6650366748166259,0.5375580760790368
en,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,title_and_first_paragraph,6,0.9881993477588794,0.98122226161124,0.924574209245742,0.9787369011696834,0.9644542737735812,0.9981447124304268,0.9990759637188208,0.6647909889080091,0.4952073057025858,0.058252427184466,0.6952976697743792,0.5259949153705358,0.6454767726161369,0.4808835830712754
en,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,title_and_first_sentence_each_paragraph,6,0.9956491743206906,0.9960683111205854,0.9659367396593674,0.996309121481167,0.9971022484342352,0.995052566481138,0.995099735535782,0.6520104820399085,0.492949171505355,0.087378640776699,0.7437038581454661,0.6146424099943006,0.5990220048899756,0.435526594876081
en,LinearSVM,No Upsampling,LinearSVMDual,raw_text,7,0.9990847055220436,0.997968328184576,0.9927007299270072,0.998193437154476,0.995995670995671,1.0,1.0,0.6905355148729725,0.6010917066368208,0.058252427184466,0.7345432890618646,0.6460757543852553,0.6601466992665037,0.5790551948900781
en,LinearSVM,No Upsampling,LinearSVMDual,title_and_10_sentences,7,0.9226036961127564,0.8966432997997936,0.5523114355231143,0.8928962338159949,0.8399140961557322,0.9598021026592456,0.97379391204776,0.703427188643217,0.587257283922573,0.0485436893203883,0.7263983388088848,0.5863901389288386,0.6968215158924206,0.6321835882582238
en,LinearSVM,No Upsampling,LinearSVMDual,title_and_5_sentences,7,0.9204825561788093,0.8863754375105162,0.51338199513382,0.890114967457153,0.8249480232596349,0.9604205318491033,0.9745294647495384,0.6763123859889395,0.5206297260543159,0.0776699029126213,0.6898771117966449,0.5154367572146052,0.6772616136919315,0.5663812540932626
en,LinearSVM,No Upsampling,LinearSVMDual,title_and_first_paragraph,7,0.9778064890773004,0.9642006782991316,0.8564476885644768,0.962243289753927,0.9355157669218216,0.995052566481138,0.9974688483807762,0.6744723619528051,0.5005961096449231,0.058252427184466,0.6934135824027519,0.5227532041733638,0.6650366748166259,0.4950307978787706
en,LinearSVM,No Upsampling,LinearSVMDual,title_and_first_sentence_each_paragraph,7,0.999693846935714,0.9992927864214992,0.9975669099756692,0.9993936968726884,0.9985994397759104,1.0,1.0,0.6644525170597425,0.5081537423919559,0.116504854368932,0.7330940507533396,0.6004690817237438,0.6210268948655256,0.4613943788124763
en,LinearSVM,Random Oversampling,LinearSVMDual_ROS,raw_text,8,0.9919737204826964,0.9929826323938802,0.9391727493917276,0.9920423530268538,0.992190337876645,0.9919604205318492,0.9938525202020692,0.6903035384997996,0.5999925704073605,0.0679611650485436,0.741005135332818,0.6614604283900304,0.6577017114914425,0.5721107504456338
en,LinearSVM,Random Oversampling,LinearSVMDual_ROS,title_and_10_sentences,8,0.936748689059403,0.9323455296869992,0.6326034063260341,0.9223464087942128,0.9025739846300844,0.95299938157081,0.9668247195631106,0.692123275527312,0.5627559791938145,0.087378640776699,0.7300090587950784,0.5878759573561688,0.6699266503667481,0.5662166245829423
en,LinearSVM,Random Oversampling,LinearSVMDual_ROS,title_and_5_sentences,8,0.9377159604555476,0.9271846708705336,0.6277372262773723,0.9225889460168382,0.8948063821447736,0.9548546691403834,0.9658292364825344,0.6695949048630884,0.5123057050801949,0.087378640776699,0.6961643571094182,0.5308065296073452,0.6528117359413202,0.5129237979243378
en,LinearSVM,Random Oversampling,LinearSVMDual_ROS,title_and_first_paragraph,8,0.9947957377854624,0.9928607202646448,0.975669099756691,0.9909229989098528,0.9865940045410344,0.9987631416202843,0.9993594104308392,0.6387208644299036,0.4649719089972541,0.058252427184466,0.7057249620156829,0.5827548247589839,0.6014669926650367,0.4209720480429383
en,LinearSVM,Random Oversampling,LinearSVMDual_ROS,title_and_first_sentence_each_paragraph,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6538295886518215,0.4886987273749611,0.0970873786407767,0.7292003697490589,0.5889797679235056,0.60880195599022,0.44232276902343
en,LinearSVM,SMOTE,LinearSVMDual_SMOTE,raw_text,9,0.9886236223685704,0.9877955650593162,0.9197080291970804,0.986028251859902,0.9824696041630836,0.9913419913419912,0.9933864534175886,0.6949535522102542,0.6069355234374133,0.0485436893203883,0.7402248915207349,0.6634542802399945,0.6674816625916871,0.5822537888061083
en,LinearSVM,SMOTE,LinearSVMDual_SMOTE,title_and_10_sentences,9,0.9392568107468968,0.9395144031902644,0.6690997566909975,0.9286602636438624,0.921652723151656,0.9511440940012368,0.9597047684831742,0.6836431556703126,0.5470429298776277,0.116504854368932,0.7391133812894204,0.6188600152885868,0.6454767726161369,0.5043865657015422
en,LinearSVM,SMOTE,LinearSVMDual_SMOTE,title_and_5_sentences,9,0.8555448267384043,0.7958998490919511,0.267639902676399,0.8350995605217812,0.74462897872351,0.8930117501546073,0.8989436186203371,0.685410798812881,0.5381257439437163,0.0485436893203883,0.6996738582030735,0.5287678236152676,0.6894865525672371,0.602476784010167
en,LinearSVM,SMOTE,LinearSVMDual_SMOTE,title_and_first_paragraph,9,0.9727754406746222,0.9649312091407845,0.8467153284671532,0.968553947836908,0.9542638492099652,0.9777365491651204,0.9777081571527844,0.6532074099330575,0.4866699622793816,0.0776699029126213,0.7276986049836021,0.6017367387800906,0.60880195599022,0.4319211933501515
en,LinearSVM,SMOTE,LinearSVMDual_SMOTE,title_and_first_sentence_each_paragraph,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6522357276381516,0.4841805761883371,0.087378640776699,0.7311311884337917,0.6170088664836564,0.6112469437652812,0.4362678647922341
en,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,raw_text,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.668256302843514,0.5893640390477153,0.0485436893203883,0.6896241311907226,0.5939814014471464,0.6625916870415648,0.6201778742870195
en,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,title,0,0.9783388702602988,0.9621837974811264,0.9416058394160584,0.974420127059464,0.9441644888416486,0.9839208410636984,0.9855031006378476,0.5593686467254863,0.4110963658682645,0.0097087378640776,0.5874602645797913,0.4124583238970373,0.5476772616136919,0.4433451523503563
en,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,title_and_10_sentences,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6420747535320767,0.5175291829234332,0.0194174757281553,0.6560295385612873,0.5223648718375945,0.6381418092909535,0.5297526124869337
en,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,title_and_5_sentences,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6210686713728252,0.459366240448435,0.0485436893203883,0.6356783839764377,0.4612039640234909,0.6136919315403423,0.4658125875393488
en,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,title_and_first_paragraph,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6280467679724784,0.435517490948102,0.0388349514563106,0.6596510103600945,0.4800193555113944,0.6112469437652812,0.4197300718422599
en,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,title_and_first_sentence_each_paragraph,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6827479126822654,0.5754476307426248,0.0679611650485436,0.7014148994528779,0.5867524477395039,0.6772616136919315,0.5869383802100315
en,LogisticRegression,No Upsampling,LogisticRegression,raw_text,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6788610653846134,0.6070079179259074,0.058252427184466,0.7299435179139122,0.6839505905887895,0.6454767726161369,0.5641461492319035
en,LogisticRegression,No Upsampling,LogisticRegression,title,1,0.9761433239693657,0.9582861052035282,0.9440389294403893,0.9678700733021064,0.9330070554006544,0.9863945578231292,0.989791658446996,0.5577027606293492,0.4058030441472526,0.0388349514563106,0.5943421070724614,0.4221883944393562,0.5378973105134475,0.4164715184853574
en,LogisticRegression,No Upsampling,LogisticRegression,title_and_10_sentences,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6266215517404978,0.4704655171776166,0.0194174757281553,0.6726212561937647,0.5336735546931951,0.5990220048899756,0.4345564481251128
en,LogisticRegression,No Upsampling,LogisticRegression,title_and_5_sentences,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6068835215537474,0.4442165068225871,0.058252427184466,0.6543809635742165,0.4963313779592177,0.5745721271393643,0.4108854930957562
en,LogisticRegression,No Upsampling,LogisticRegression,title_and_first_paragraph,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6164312492605254,0.4280198551161285,0.0485436893203883,0.6738633524607263,0.5390511143295971,0.5916870415647921,0.3949362484518747
en,LogisticRegression,No Upsampling,LogisticRegression,title_and_first_sentence_each_paragraph,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6534815198981926,0.4934142604167883,0.1067961165048543,0.7336131379594255,0.6418118900731683,0.6136919315403423,0.4445110105353799
en,LogisticRegression,Random Oversampling,LogisticRegression_ROS,raw_text,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6827350977230349,0.6170757639752302,0.0776699029126213,0.7394965680884092,0.7061202559946052,0.6454767726161369,0.5642855926584699
en,LogisticRegression,Random Oversampling,LogisticRegression_ROS,title,2,0.981949369966162,0.9758155892892432,0.948905109489051,0.987404212022457,0.9849200805058296,0.9771181199752628,0.9680207578124164,0.5503564942724863,0.4027514961434178,0.0194174757281553,0.5964110480672736,0.429995675802023,0.5207823960880196,0.3984999282864371
en,LogisticRegression,Random Oversampling,LogisticRegression_ROS,title_and_10_sentences,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6185348770101786,0.4423740114850661,0.029126213592233,0.6609655014177653,0.4921370225172902,0.5916870415647921,0.4126030569968383
en,LogisticRegression,Random Oversampling,LogisticRegression_ROS,title_and_5_sentences,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6159236847302826,0.4345604355339504,0.0679611650485436,0.6554647789968004,0.4735285879962457,0.589242053789731,0.4094313393879143
en,LogisticRegression,Random Oversampling,LogisticRegression_ROS,title_and_first_paragraph,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6067282518533706,0.4225542974572203,0.058252427184466,0.6700141695226203,0.5166486878231255,0.5745721271393643,0.3852858556058748
en,LogisticRegression,Random Oversampling,LogisticRegression_ROS,title_and_first_sentence_each_paragraph,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6574915147109297,0.4955163575847332,0.1067961165048543,0.7369253912346821,0.6352138767317338,0.6161369193154034,0.4462116908074887
en,LogisticRegression,SMOTE,LogisticRegression_SMOTE,raw_text,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6844053552121736,0.6178905583581592,0.0679611650485436,0.742262449239811,0.7152926114238853,0.6479217603911981,0.5650575326401363
en,LogisticRegression,SMOTE,LogisticRegression_SMOTE,title,3,0.9793266580930448,0.9694532853908566,0.94647201946472,0.9769046327760612,0.9614082613335612,0.9826839826839828,0.9799511201393876,0.5649491896111609,0.4281845670328696,0.029126213592233,0.6039340254936083,0.4416833207865551,0.5476772616136919,0.4515072245234422
en,LogisticRegression,SMOTE,LogisticRegression_SMOTE,title_and_10_sentences,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6260441792353425,0.4709664275066751,0.029126213592233,0.6708117480330534,0.5355867275139722,0.5990220048899756,0.4343514015674826
en,LogisticRegression,SMOTE,LogisticRegression_SMOTE,title_and_5_sentences,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.607268265196078,0.4399980661296404,0.0679611650485436,0.6462676587685813,0.4810339827047213,0.5819070904645477,0.4140986907113171
en,LogisticRegression,SMOTE,LogisticRegression_SMOTE,title_and_first_paragraph,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6116918590463704,0.4271516125092388,0.058252427184466,0.6757823834071862,0.5462615862986181,0.5819070904645477,0.3877990812198879
en,LogisticRegression,SMOTE,LogisticRegression_SMOTE,title_and_first_sentence_each_paragraph,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6530988799675072,0.4916930619770266,0.116504854368932,0.7325745048879887,0.6316210884168502,0.6112469437652812,0.4422812890167932
en,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,raw_text,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.681382168426586,0.5886577659657496,0.0776699029126213,0.7377780052969687,0.6786701567696287,0.6454767726161369,0.5426028512188894
en,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,title,4,0.9760305278928372,0.95981584622566,0.9440389294403893,0.9686831251378591,0.9381202473237016,0.9851576994434136,0.9869796870821802,0.5519954382376423,0.3979864113111375,0.0194174757281553,0.5811260526316503,0.3963550455556205,0.5427872860635696,0.4340620470969434
en,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,title_and_10_sentences,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6117583137037289,0.4402819474770174,0.0097087378640776,0.6523181739691841,0.4825568653012262,0.5843520782396088,0.4140630449170902
en,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,title_and_5_sentences,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6086645885750848,0.4353484524665435,0.0679611650485436,0.6521053800045529,0.4775877315967448,0.5794621026894865,0.4088426027688938
en,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,title_and_first_paragraph,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6151871625905575,0.411874566184765,0.0485436893203883,0.6504899899594193,0.4481049441909253,0.5941320293398533,0.3923241847715331
en,LogisticRegression,SVMSMOTE,LogisticRegression_SVMSMOTE,title_and_first_sentence_each_paragraph,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6545955805950082,0.4998826080345859,0.0970873786407767,0.7290656592694691,0.6344639009217901,0.6161369193154034,0.4536642653332339
en,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,raw_text,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6848363846422546,0.6134755195636076,0.0679611650485436,0.7224015196230645,0.6506693891849842,0.6601466992665037,0.6003319872034557
en,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,title_and_10_sentences,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6572574657605167,0.5323559881029944,0.0485436893203883,0.6851237998380088,0.5725480228907915,0.6405867970660146,0.5169166994327673
en,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,title_and_5_sentences,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.641834665146985,0.4897863270508181,0.058252427184466,0.6489039448824775,0.488110773745873,0.6454767726161369,0.5092121717444041
en,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,title_and_first_paragraph,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6410816281595533,0.4638179190516067,0.058252427184466,0.6774872299005077,0.5188916819255674,0.6185819070904646,0.4375837115789475
en,LogisticRegressionElasticNet,BorderlineSMOTE,LogisticRegressionElasticNet_BorderlineSMOTE,title_and_first_sentence_each_paragraph,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6827123642096515,0.5567935060916182,0.116504854368932,0.7366602524005305,0.6465801007701968,0.6503667481662592,0.5193003945313397
en,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,raw_text,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6898083332210565,0.619069893244966,0.058252427184466,0.747116568836947,0.7122877151012832,0.6528117359413202,0.5690111255254513
en,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,title_and_10_sentences,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6496329766585337,0.5230903361859242,0.0388349514563106,0.7028374130505521,0.593108885880625,0.6136919315403423,0.4786578828679961
en,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,title_and_5_sentences,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6282897774372452,0.4684411661106246,0.0679611650485436,0.6693724161305816,0.5091836309164718,0.6014669926650367,0.4460583564100681
en,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,title_and_first_paragraph,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6190891918101691,0.4318392216541232,0.058252427184466,0.6758335350007509,0.5440272547638421,0.5916870415647921,0.3955898382641832
en,LogisticRegressionElasticNet,No Upsampling,LogisticRegressionElasticNet,title_and_first_sentence_each_paragraph,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6506864612062366,0.4888004821111132,0.116504854368932,0.7336245045295571,0.6266631123575788,0.6063569682151589,0.4386334019083087
en,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,raw_text,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6929836363180548,0.6241349136530246,0.087378640776699,0.7549952321743115,0.7238359869756421,0.6528117359413202,0.5684027520947782
en,LogisticRegressionElasticNet,Random Oversampling,LogisticRegressionElasticNet_ROS,title_and_10_sentences,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.644727257117177,0.5203808940601057,0.0388349514563106,0.7020012832937099,0.5924724304992717,0.6063569682151589,0.4743196678914833
