model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
AshtonIsNotHere-xlm-roberta-long-base-4096,0.455,0.520,0.562,0.505,0.580,0.574
EleutherAI-gpt-neo-1.3B,0.536,0.600,0.540,0.542,0.571,0.600
EleutherAI-gpt-neo-125M,0.324,0.463,0.480,0.440,0.545,**0.643**
bert-base-multilingual-cased,0.524,0.538,0.495,0.532,0.566,0.579
distilbert-base-multilingual-cased,0.481,0.510,0.520,0.545,0.615,0.575
facebook-mbart-large-50,0.558,0.559,0.640,0.570,0.585,0.590
gpt2,0.371,0.443,0.483,0.505,0.500,0.602
xlm-roberta-large,0.505,0.545,0.577,0.547,0.594,0.580
