model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
EleutherAI-gpt-neo-1.3B,0.000,0.029,0.000,0.057,0.029,0.057
EleutherAI-gpt-neo-125M,0.000,0.000,0.000,0.000,0.000,0.000
bert-base-multilingual-cased,0.029,0.029,0.086,0.000,0.000,0.000
distilbert-base-multilingual-cased,0.000,0.029,0.000,0.000,0.029,0.029
facebook-mbart-large-50,0.057,**0.114**,0.029,0.029,0.029,0.086
gpt2,0.029,0.000,0.000,0.000,0.029,0.000
xlm-roberta-large,0.057,0.086,0.029,0.029,0.057,0.029
