language,model_name,unit_of_analysis,f1-micro_mean,f1-micro_std,precision-micro_mean,precision-micro_std,recall-micro_mean,recall-micro_std,roc-auc_mean,roc-auc_std,accuracy_mean,accuracy_std
en,EleutherAI-gpt-neo-1.3B,title,0.6260869565217392,,0.7258064516129032,,0.5504587155963303,,0.7361488980280503,,0.0760233918128654,
en,EleutherAI-gpt-neo-1.3B,title,0.6260869565217392,,0.7258064516129032,,0.5504587155963303,,0.7361488980280503,,0.0760233918128654,
en,EleutherAI-gpt-neo-1.3B,title_and_10_sentences,0.6735042735042736,,0.7635658914728682,,0.6024464831804281,,0.7661657703258462,,0.1228070175438596,
en,EleutherAI-gpt-neo-1.3B,title_and_10_sentences,0.6735042735042736,,0.7635658914728682,,0.6024464831804281,,0.7661657703258462,,0.1228070175438596,
en,EleutherAI-gpt-neo-1.3B,title_and_5_sentences,0.6779661016949151,,0.7604562737642585,,0.6116207951070336,,0.7696035010017926,,0.0818713450292397,
en,EleutherAI-gpt-neo-1.3B,title_and_5_sentences,0.6779661016949151,,0.7604562737642585,,0.6116207951070336,,0.7696035010017926,,0.0818713450292397,
en,EleutherAI-gpt-neo-1.3B,title_and_first_paragraph,0.6728343145500421,,0.7476635514018691,,0.6116207951070336,,0.7670172941052409,,0.1111111111111111,
en,EleutherAI-gpt-neo-1.3B,title_and_first_paragraph,0.6728343145500421,,0.7476635514018691,,0.6116207951070336,,0.7670172941052409,,0.1111111111111111,
en,EleutherAI-gpt-neo-1.3B,title_and_first_sentence_each_paragraph,0.6745164003364171,,0.7495327102803738,,0.6131498470948012,,0.768069176420964,,0.0935672514619883,
en,EleutherAI-gpt-neo-1.3B,title_and_first_sentence_each_paragraph,0.6717817561807332,,0.7591522157996147,,0.6024464831804281,,0.765303701360329,,0.087719298245614,
en,EleutherAI-gpt-neo-125M,raw_text,0.688709677419355,,0.7286689419795221,,0.6529051987767585,,0.7807629442159654,,0.0760233918128654,
en,EleutherAI-gpt-neo-125M,raw_text,0.663265306122449,,0.7471264367816092,,0.5963302752293578,,0.7602341031319202,,0.0701754385964912,
en,EleutherAI-gpt-neo-125M,title,0.5460636515912899,,0.6037037037037037,,0.4984709480122324,,0.687741221132553,,0.0409356725146198,
en,EleutherAI-gpt-neo-125M,title,0.5460636515912899,,0.6037037037037037,,0.4984709480122324,,0.687741221132553,,0.0409356725146198,
en,EleutherAI-gpt-neo-125M,title_and_10_sentences,0.6087689713322092,,0.6785714285714286,,0.5519877675840978,,0.7268559527575661,,0.0818713450292397,
en,EleutherAI-gpt-neo-125M,title_and_10_sentences,0.6087689713322092,,0.6785714285714286,,0.5519877675840978,,0.7268559527575661,,0.0818713450292397,
en,EleutherAI-gpt-neo-125M,title_and_5_sentences,0.6149870801033591,,0.7041420118343196,,0.5458715596330275,,0.7298323315406515,,0.0935672514619883,
en,EleutherAI-gpt-neo-125M,title_and_5_sentences,0.6149870801033591,,0.7041420118343196,,0.5458715596330275,,0.7298323315406515,,0.0935672514619883,
en,EleutherAI-gpt-neo-125M,title_and_first_paragraph,0.5888412017167381,,0.6712328767123288,,0.5244648318042814,,0.7139565538331752,,0.0584795321637426,
en,EleutherAI-gpt-neo-125M,title_and_first_paragraph,0.5888412017167381,,0.6712328767123288,,0.5244648318042814,,0.7139565538331752,,0.0584795321637426,
en,EleutherAI-gpt-neo-125M,title_and_first_sentence_each_paragraph,0.6432160804020101,,0.7111111111111111,,0.5871559633027523,,0.7487503954444796,,0.0760233918128654,
en,EleutherAI-gpt-neo-125M,title_and_first_sentence_each_paragraph,0.6602098466505245,,0.6991452991452991,,0.6253822629969419,,0.7621164188547928,,0.0818713450292397,
en,bert-base-multilingual-cased,raw_text,0.6625766871165644,,0.7761806981519507,,0.5779816513761468,,0.7576689866076136,,0.087719298245614,
en,bert-base-multilingual-cased,raw_text,0.6706689536878215,,0.763671875,,0.5978593272171254,,0.764159548666034,,0.087719298245614,
en,bert-base-multilingual-cased,title,0.6174055829228243,,0.6666666666666666,,0.5749235474006116,,0.7334387851945587,,0.0760233918128654,
en,bert-base-multilingual-cased,title,0.6174055829228243,,0.6666666666666666,,0.5749235474006116,,0.7334387851945587,,0.0760233918128654,
en,bert-base-multilingual-cased,title_and_10_sentences,0.6782884310618067,,0.7039473684210527,,0.654434250764526,,0.7754929874512285,,0.087719298245614,
en,bert-base-multilingual-cased,title_and_10_sentences,0.6782884310618067,,0.7039473684210527,,0.654434250764526,,0.7754929874512285,,0.087719298245614,
en,bert-base-multilingual-cased,title_and_5_sentences,0.6986410871302958,,0.7319932998324958,,0.6681957186544343,,0.7881208478329642,,0.1228070175438596,
en,bert-base-multilingual-cased,title_and_5_sentences,0.6986410871302958,,0.7319932998324958,,0.6681957186544343,,0.7881208478329642,,0.1228070175438596,
en,bert-base-multilingual-cased,title_and_first_paragraph,0.6894360603653694,,0.7173553719008264,,0.6636085626911316,,0.782666350311083,,0.0994152046783625,
en,bert-base-multilingual-cased,title_and_first_paragraph,0.6894360603653694,,0.7173553719008264,,0.6636085626911316,,0.782666350311083,,0.0994152046783625,
en,bert-base-multilingual-cased,title_and_first_sentence_each_paragraph,0.688550840672538,,0.7226890756302521,,0.6574923547400612,,0.7813323842665822,,0.1052631578947368,
en,bert-base-multilingual-cased,title_and_first_sentence_each_paragraph,0.6830065359477124,,0.7333333333333333,,0.6391437308868502,,0.7758937045238848,,0.0994152046783625,
en,distilbert-base-multilingual-cased,raw_text,0.6633081444164567,,0.7355679702048417,,0.6039755351681957,,0.7611831698829484,,0.0935672514619883,
