language,fold,unit_of_analysis,f1-mico,precision-micro,recall-micro,roc-auc,accuracy
en,fold_3,title,0.6616288832913518,0.7337057728119181,0.6024464831804281,0.7601312875672256,0.1111111111111111
fr,fold_3,title,0.5027027027027027,0.5502958579881657,0.4626865671641791,0.6834239897611564,0.08450704225352113
ge,fold_3,title,0.5361702127659574,0.6237623762376238,0.4701492537313433,0.665221685689201,0.05172413793103448
it,fold_3,title,0.4832826747720365,0.5618374558303887,0.424,0.6523272377285851,0.0297029702970297
po,fold_3,title,0.5924713584288053,0.6753731343283582,0.5276967930029155,0.6851865520168284,0.046875
ru,fold_3,title,0.3482142857142857,0.4875,0.2708333333333333,0.6081560283687943,0.078125
