model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
EleutherAI-gpt-neo-1.3B,**0.727**,0.581,0.625,0.600,0.605,0.514
EleutherAI-gpt-neo-125M,0.333,0.250,0.375,0.347,0.308,0.190
bert-base-multilingual-cased,0.500,0.478,0.561,0.480,0.545,0.538
distilbert-base-multilingual-cased,0.410,0.414,0.567,0.567,0.515,0.600
facebook-mbart-large-50,0.609,0.600,0.585,0.633,0.672,0.685
gpt2,0.231,0.174,0.300,0.118,0.379,0.474
xlm-roberta-large,0.615,0.673,0.615,0.625,0.633,0.636
