language,unit_of_analysis,f1-mico_mean,f1-mico_std,precision-micro_mean,precision-micro_std,recall-micro_mean,recall-micro_std,roc-auc_mean,roc-auc_std,accuracy_mean,accuracy_std
en,raw_text,0.6835043409629046,,0.7063621533442088,,0.6620795107033639,,0.7793156174206475,,0.09941520467836257,
fr,raw_text,0.5102639296187683,,0.6214285714285714,,0.43283582089552236,,0.6830005081778998,,0.08450704225352113,
ge,raw_text,0.5541666666666667,,0.6273584905660378,,0.4962686567164179,,0.6755240342405618,,0.017241379310344827,
it,raw_text,0.5487256371814093,,0.6267123287671232,,0.488,,0.6915457170356112,,0.10891089108910891,
po,raw_text,0.6255924170616114,,0.6827586206896552,,0.577259475218659,,0.7054470974646639,,0.0,
ru,raw_text,0.16129032258064516,,0.35714285714285715,,0.10416666666666667,,0.5341312056737588,,0.03125,
