language,unit_of_analysis,f1-mico_mean,f1-mico_std,precision-micro_mean,precision-micro_std,recall-micro_mean,recall-micro_std,roc-auc_mean,roc-auc_std,accuracy_mean,accuracy_std
en,title_and_first_paragraph,0.6790639610060724,0.012251840123483139,0.7228887144870327,0.016243428011055612,0.6411151133699344,0.03039609684258591,0.7724145313617915,0.011348838855630993,0.07785937712498299,0.02448348718837489
fr,title_and_first_paragraph,0.4262592556361102,0.022498860742025287,0.5142547649838649,0.037497672903180956,0.3641856246634214,0.015428500670328674,0.6350961938692783,0.011806375090404506,0.04735077129443327,0.016268365690822673
ge,title_and_first_paragraph,0.5179783398200427,0.039175629128947946,0.5570840418563132,0.028730882918490623,0.4851015052867238,0.05286100455042633,0.6551134065779965,0.030693886907064167,0.011299435028248588,0.019571195565750026
it,title_and_first_paragraph,0.45034884537611436,0.012798251378455567,0.5213196132724256,0.023550515809867126,0.3967381824524681,0.013358087724682258,0.6300003916581774,0.006535772698142749,0.023102310231023104,0.02061055445015973
po,title_and_first_paragraph,0.5517207419409006,0.04697471752815844,0.5901557511223481,0.0983427109698961,0.5221148695419641,0.00881917723496861,0.6598841243779078,0.031278243397570425,0.02572115384615385,0.01769563879594206
ru,title_and_first_paragraph,0.13750497868144926,0.054558260055684565,0.26698384379026663,0.0927776697038524,0.0926856901209321,0.038323919297724725,0.5197633174814751,0.019885340295794012,0.026124338624338623,0.01797102775619248
