language,unit_of_analysis,f1_micro,precision_micro,recall_micro,f1_macro,precision_macro,recall_macro,accuracy
en,title_and_first_paragraph,0.7029972752043597,0.7938461538461539,0.6308068459657702,0.5154143067751366,0.7141350401992363,0.44492175899590797,0.08737864077669903
fr,title_and_first_paragraph,0.44776119402985076,0.6,0.35714285714285715,0.2728402549831121,0.39120121732903695,0.24600649350649353,0.11904761904761904
ge,title_and_first_paragraph,0.5724137931034482,0.7033898305084746,0.48255813953488375,0.430517445734837,0.5229191443477158,0.39775892813265656,0.02857142857142857
it,title_and_first_paragraph,0.5384615384615384,0.7313432835820896,0.4260869565217391,0.3567318666597074,0.5315359243930673,0.3066854848997706,0.11666666666666667
po,title_and_first_paragraph,0.514792899408284,0.6590909090909091,0.4223300970873786,0.3423460784805322,0.46081864564007413,0.3116307251645597,0.0
ru,title_and_first_paragraph,0.2857142857142857,0.5151515151515151,0.19767441860465115,0.18890434961863534,0.2802721088435374,0.1526360544217687,0.10526315789473684
