language,unit_of_analysis,f1_micro,precision_micro,recall_micro,f1_macro,precision_macro,recall_macro,accuracy
en,title,0.5302593659942363,0.6456140350877193,0.44987775061124696,0.3169828018985462,0.4040567502364926,0.2769429206387904,0.019417475728155338
fr,title,0.2268041237113402,0.3235294117647059,0.1746031746031746,0.1380968749632344,0.21831763008233596,0.12502628324056894,0.023809523809523808
ge,title,0.4086021505376344,0.5327102803738317,0.3313953488372093,0.26463319566767846,0.3232161046236676,0.23646800825593398,0.0
it,title,0.3002680965147453,0.3916083916083916,0.24347826086956523,0.18807791581501068,0.23867245590848074,0.16233915626772769,0.0
po,title,0.45325779036827196,0.54421768707483,0.3883495145631068,0.3169042120293855,0.4296118447378951,0.2869838807808733,0.0
ru,title,0.16216216216216217,0.36,0.10465116279069768,0.10412028447742734,0.22321428571428573,0.07253401360544218,0.02631578947368421
