language,unit_of_analysis,f1-mico_mean,f1-mico_std,precision-micro_mean,precision-micro_std,recall-micro_mean,recall-micro_std,roc-auc_mean,roc-auc_std,accuracy_mean,accuracy_std
en,title_and_first_paragraph,0.7020602218700476,,0.7286184210526315,,0.6773700305810397,,0.7912712221870716,,0.12280701754385964,
fr,title_and_first_paragraph,0.5706521739130433,,0.6287425149700598,,0.5223880597014925,,0.7221019743652481,,0.11267605633802817,
ge,title_and_first_paragraph,0.610441767068273,,0.6608695652173913,,0.5671641791044776,,0.7118909130816505,,0.06896551724137931,
it,title_and_first_paragraph,0.5499276410998554,,0.6012658227848101,,0.5066666666666667,,0.6926981071543151,,0.04950495049504951,
po,title_and_first_paragraph,0.636085626911315,,0.6688102893890675,,0.6064139941690962,,0.7100786064878031,,0.0625,
ru,title_and_first_paragraph,0.5692883895131086,,0.6178861788617886,,0.5277777777777778,,0.7326388888888888,,0.125,
