model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,0.17 $\pm$ 0.07,0.17 $\pm$ 0.04,0.04 $\pm$ 0.03,0.09 $\pm$ 0.05,0.08 $\pm$ 0.03,0.04 $\pm$ 0.06
Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,0.19 $\pm$ 0.04,0.18 $\pm$ 0.01,0.12 $\pm$ 0.03,0.15 $\pm$ 0.07,0.12 $\pm$ 0.05,0.13 $\pm$ 0.06
ComplementNB,RakelD Partitioning of labels,RakelD_ComplementNB,0.40 $\pm$ 0.00,0.43 $\pm$ 0.02,0.45 $\pm$ 0.02,0.50 $\pm$ 0.02,0.40 $\pm$ 0.03,0.46 $\pm$ 0.02
Dummy Classifier,No Upsampling,DummyMostFrequent,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
Dummy Classifier,No Upsampling,DummyProbSampling,0.32 $\pm$ 0.02,0.31 $\pm$ 0.03,0.32 $\pm$ 0.02,0.31 $\pm$ 0.03,0.34 $\pm$ 0.03,0.34 $\pm$ 0.03
Dummy Classifier,No Upsampling,DummyUniformSampling,0.34 $\pm$ 0.03,0.32 $\pm$ 0.03,0.31 $\pm$ 0.03,0.31 $\pm$ 0.04,0.32 $\pm$ 0.03,0.33 $\pm$ 0.03
KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.33 $\pm$ 0.01,0.33 $\pm$ 0.01,0.34 $\pm$ 0.02,0.32 $\pm$ 0.02,0.32 $\pm$ 0.02,0.33 $\pm$ 0.01
KNN,No Upsampling,kNN,0.36 $\pm$ 0.07,0.20 $\pm$ 0.05,0.17 $\pm$ 0.01,0.22 $\pm$ 0.14,0.14 $\pm$ 0.08,0.11 $\pm$ 0.05
KNN,Random Oversampling,kNN_ROS,0.44 $\pm$ 0.03,0.34 $\pm$ 0.03,0.36 $\pm$ 0.09,0.32 $\pm$ 0.02,0.30 $\pm$ 0.01,0.33 $\pm$ 0.09
KNN,SMOTE,kNN_SMOTE,0.33 $\pm$ 0.01,0.33 $\pm$ 0.02,0.32 $\pm$ 0.02,0.32 $\pm$ 0.02,0.35 $\pm$ 0.00,0.30 $\pm$ 0.04
