language,model_type,unit_of_analysis,index,model_subtype,model_name,train_f1_micro,train_f1_macro,train_accuracy,train_precision_micro,train_precision_macro,train_recall_micro,train_recall_macro,test_f1_micro,test_f1_macro,test_accuracy,test_precision_micro,test_precision_macro,test_recall_micro,test_recall_macro
en,Dummy Classifier,raw_text,1,No Upsampling,DummyUniformSampling,0.4120309364015009,0.3216938931657242,0.0,0.3848522590376939,0.2766728306205878,0.4916512059369202,0.4827317595933402,0.434823026121119,0.3101242735896328,0.0,0.4255232621569909,0.2774237921301862,0.491442542787286,0.4779627574679582
en,Dummy Classifier,title,1,No Upsampling,DummyUniformSampling,0.4285027951505966,0.3411567366477078,0.0,0.4004197760537262,0.2924336272274114,0.5132962275819418,0.5221901713174254,0.4268898728830519,0.3156855893046383,0.0,0.4253230704161587,0.2839606166521165,0.4816625916870415,0.5114873312713261
en,Dummy Classifier,title_and_10_sentences,0,No Upsampling,DummyProbSampling,0.397885384749832,0.2875342527092052,0.0,0.3976061641785289,0.2880818142691712,0.398886827458256,0.2876376892358865,0.4329744196004192,0.2902570917182649,0.0,0.4602214998019839,0.301007417904295,0.4156479217603912,0.2873777200846036
en,Dummy Classifier,title_and_5_sentences,1,No Upsampling,DummyUniformSampling,0.4132082712618014,0.3327454052121015,0.0,0.3848575602536107,0.283513664115413,0.4984539270253555,0.5188994945562547,0.4365037562618217,0.3151408061015554,0.0,0.4283174104517421,0.281781874659922,0.4987775061124694,0.494407394762515
en,Dummy Classifier,title_and_first_paragraph,1,No Upsampling,DummyUniformSampling,0.4156022327185009,0.332360232731439,0.0,0.3916293518598761,0.2862146956497579,0.4978354978354978,0.5131067965222346,0.4585325638386466,0.3293615349534424,0.0,0.4425157079281652,0.289787325649104,0.5330073349633252,0.5405624112856575
en,Dummy Classifier,title_and_first_sentence_each_paragraph,1,No Upsampling,DummyUniformSampling,0.4221989846730877,0.3270880833015665,0.0,0.389502307476607,0.2788950519108584,0.507730364873222,0.4968457001409598,0.4302548479518591,0.314237402548935,0.0,0.4181076344527456,0.2796314642715119,0.491442542787286,0.470770854603857
en,KNN,raw_text,5,Random Oversampling,kNN_ROS,0.7128988915329436,0.6744120366918065,0.0462287104622871,0.7672513984942118,0.6529742268324876,0.7464440321583179,0.8370149316323582,0.5429185158596993,0.4215120543823341,0.0,0.6678918822183254,0.4620466583802486,0.5232273838630807,0.5348062494971247
en,KNN,title,6,SMOTE,kNN_SMOTE,0.5018565684162706,0.4809573820677169,0.0,0.5495706848402423,0.4473948940277963,0.8330241187384044,0.9076621099977056,0.4896738147959169,0.38502738695348,0.0,0.519148424276245,0.3499661482456149,0.7921760391198044,0.8357578278027147
en,KNN,title_and_10_sentences,6,SMOTE,kNN_SMOTE,0.4694035279759298,0.385386702006175,0.0024330900243309,0.4913842991088829,0.3349055886768879,0.8484848484848485,0.9301020958545232,0.4783762479253128,0.3566315095308889,0.0,0.4557767081537358,0.2958319251812198,0.8288508557457213,0.9148268398268398
en,KNN,title_and_5_sentences,5,Random Oversampling,kNN_ROS,0.7145920637935168,0.6206636177359653,0.0218978102189781,0.7041220112915951,0.5848505993831035,0.8769325912183055,0.909719726165894,0.5273995982129365,0.3719106240009959,0.0,0.552126075869361,0.3844350032319312,0.6797066014669927,0.6687688955656897
