language,model_name,unit_of_analysis,f1-micro_mean,f1-micro_std,precision-micro_mean,precision-micro_std,recall-micro_mean,recall-micro_std,roc-auc_mean,roc-auc_std,accuracy_mean,accuracy_std
en,AshtonIsNotHere-xlm-roberta-long-base-4096,raw_text,0.7002317766342813,0.0176925497527763,0.761466764989965,0.0235765160468439,0.6484378937005782,0.0217022675233691,0.784366262839672,0.0095148303344359,0.112845097239222,0.0035774112474303
en,AshtonIsNotHere-xlm-roberta-long-base-4096,title,0.6405439811819602,0.0165947509714764,0.701902230604648,0.0181745372541001,0.5891152440169874,0.0170327365901467,0.7456255344244611,0.0091606400352669,0.0758987261435241,0.0118833953852811
en,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_10_sentences,0.6981092157144922,0.0189253295472577,0.7592544649352434,0.0207814461291506,0.6460904758602026,0.0176878708231412,0.7830177538347258,0.0100383487116376,0.1050138265560542,0.0353275553169876
en,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_5_sentences,0.6855166794701679,0.0139995172563066,0.74327618794445,0.0088209423239857,0.6361749544481179,0.0187433950281478,0.7750293581715556,0.007465385399137,0.1109297792284328,0.0157807580553089
en,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_first_paragraph,0.6830845865175789,0.0115445974860378,0.7373809595273602,0.0048949575748732,0.6363078743780873,0.0164078501898939,0.7737406064608704,0.0061778175175338,0.0739607416474001,0.0148973653514713
en,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_first_sentence_each_paragraph,0.6907566692697387,0.0174268386227525,0.7540401759633223,0.0334174419002554,0.6375253296745219,0.0069381899139923,0.7780870478884744,0.0076733784253518,0.1030871753025975,0.0144036909341224
fr,AshtonIsNotHere-xlm-roberta-long-base-4096,raw_text,0.5677441496081919,0.0256490175627302,0.6406099885627144,0.0455286469243908,0.5110997725941583,0.0313194700249964,0.716109784690303,0.0183415510250704,0.0710261569416498,0.0375740722530244
fr,AshtonIsNotHere-xlm-roberta-long-base-4096,title,0.4855176831649299,0.0216616382830404,0.5709457400679714,0.0545967115093202,0.4246815314695726,0.0280715335798602,0.6685460487578112,0.0094545720558952,0.0807511737089202,0.0362716635048016
fr,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_10_sentences,0.5464516040693933,0.0162928936891516,0.6177492635205055,0.0263293933996985,0.4902046954170238,0.0162832307618797,0.7037355504794851,0.0121232611539123,0.0710932260228034,0.0005808352808748
fr,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_5_sentences,0.531220630580926,0.0222450628345683,0.607851918334441,0.0092197831154758,0.4723606774343801,0.032691741814337,0.6948460419546975,0.0145432845401622,0.0805499664654594,0.0358783227126907
fr,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_first_paragraph,0.5393556243466996,0.030281600992284,0.6285609432555413,0.0128726511535754,0.4743595667767379,0.0508735069836669,0.6991085349743585,0.0210887355842942,0.0899396378269617,0.029101412654752
fr,AshtonIsNotHere-xlm-roberta-long-base-4096,title_and_first_sentence_each_paragraph,0.562918798634307,0.0231323578302945,0.6468098729790527,0.0237509404587896,0.5006745484080173,0.0467928174891848,0.7131417304105966,0.0191902899180757,0.1138162307176391,0.0149954526927737
