language,unit_of_analysis,f1-mico_mean,f1-mico_std,precision-micro_mean,precision-micro_std,recall-micro_mean,recall-micro_std,roc-auc_mean,roc-auc_std,accuracy_mean,accuracy_std
en,title_and_first_sentence_each_paragraph,0.6557596201138333,0.013686015078900656,0.7330869996981303,0.04247463608208776,0.5947038929221612,0.026669822483225268,0.7547698123940751,0.008469693925306365,0.08752663312026837,0.009795246305100756
fr,title_and_first_sentence_each_paragraph,0.437135079559322,0.031904125467661325,0.5271728271728272,0.056862115387726224,0.3766198990541674,0.04177502193211254,0.6419682730016153,0.017628683755079116,0.04265593561368209,0.028573553921007237
ge,title_and_first_sentence_each_paragraph,0.511062912456057,0.03660057405240367,0.5980643409516947,0.05133637886647296,0.44670698905548756,0.032999513396635385,0.6542880280613246,0.029157895899629662,0.03974284044418469,0.009621319481679911
it,title_and_first_sentence_each_paragraph,0.48036185370551404,0.0444712941164575,0.5899813291573482,0.0368913527883991,0.40705058433629865,0.05735472780634132,0.6505623538170077,0.02604428054493453,0.04620462046204621,0.00571633929890719
po,title_and_first_sentence_each_paragraph,0.5523972061433974,0.027508480921463675,0.5939673031507322,0.04722437213872154,0.516748747938043,0.01253592214544474,0.661136674388486,0.01792787632718027,0.025801282051282053,0.009024300144423774
ru,title_and_first_sentence_each_paragraph,0.2126139351672243,0.03365296992849822,0.36779847073964717,0.10452722856048678,0.150649158019642,0.01620623657425747,0.5466439750358966,0.0153654786972134,0.03141534391534392,0.0312513122257454
