language,unit_of_analysis,f1_micro,precision_micro,recall_micro,f1_macro,precision_macro,recall_macro,accuracy
en,title,0.6251691474966171,0.7,0.5647921760391198,0.4312530651326501,0.5205506452771239,0.3904590920809449,0.04854368932038835
fr,title,0.3561643835616438,0.41935483870967744,0.30952380952380953,0.17993613529327818,0.18788521420100368,0.19394248608534323,0.0
ge,title,0.46153846153846156,0.5433070866141733,0.4011627906976744,0.2897360401650539,0.33693089246494823,0.2917870657034744,0.02857142857142857
it,title,0.4088397790055249,0.5606060606060606,0.3217391304347826,0.2654032233395797,0.3365616009249549,0.23269359162216305,0.05
po,title,0.5222222222222223,0.6103896103896104,0.4563106796116505,0.3521480236749515,0.42885486012586854,0.34423283483433853,0.0
ru,title,0.06060606060606061,0.23076923076923078,0.03488372093023256,0.02976190476190476,0.08928571428571429,0.01913265306122449,0.0
